"cty","Name","High_School_Graduation_Rate_rP_gP_pall"
"cty24027","Howard County, MD",0.9492
"cty24025","Harford County, MD",0.9214
"cty24005","Baltimore County, MD",0.911
"cty24003","Anne Arundel County, MD",0.9056
"cty24510","Baltimore city, MD",0.779
